,date,time,aqsid,site,gmtoffset,parameter,units,value,source
2216632,11/26/19,21:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,14.3,New York Dept. of Environmental Conservation
2216636,11/26/19,21:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,11.9,New York Dept. of Environmental Conservation
2216637,11/26/19,21:00,360610134,Division Street,-5.0,PM2.5,UG/M3,13.4,New York Dept. of Environmental Conservation
2216638,11/26/19,21:00,360610135,CCNY,-5.0,OZONE,PPB,3.0,New York Dept. of Environmental Conservation
2216639,11/26/19,21:00,360610135,CCNY,-5.0,PM2.5,UG/M3,11.6,New York Dept. of Environmental Conservation
2216648,11/26/19,21:00,360810124,Queens,-5.0,OZONE,PPB,19.0,New York Dept. of Environmental Conservation
2216649,11/26/19,21:00,360810124,Queens,-5.0,PM2.5,UG/M3,9.6,New York Dept. of Environmental Conservation
2216650,11/26/19,21:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,12.1,New York Dept. of Environmental Conservation
2216651,11/26/19,21:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,9.8,New York Dept. of Environmental Conservation
2231572,10/02/19,19:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,56.0,New York Dept. of Environmental Conservation
2231573,10/02/19,19:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,31.0,New York Dept. of Environmental Conservation
2231574,10/02/19,19:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,15.5,New York Dept. of Environmental Conservation
2231575,10/02/19,19:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,49.0,New York Dept. of Environmental Conservation
2231593,10/02/19,19:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,13.5,New York Dept. of Environmental Conservation
2231594,10/02/19,19:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,12.0,New York Dept. of Environmental Conservation
2231598,10/02/19,19:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,3.6,New York Dept. of Environmental Conservation
2231599,10/02/19,19:00,360610134,Division Street,-5.0,PM2.5,UG/M3,11.9,New York Dept. of Environmental Conservation
2231600,10/02/19,19:00,360610135,CCNY,-5.0,OZONE,PPB,55.0,New York Dept. of Environmental Conservation
2231601,10/02/19,19:00,360610135,CCNY,-5.0,PM2.5,UG/M3,13.5,New York Dept. of Environmental Conservation
2231610,10/02/19,19:00,360810124,Queens,-5.0,OZONE,PPB,59.0,New York Dept. of Environmental Conservation
